sensor_id,sensor_type,location,lat,lon,altitude,date,PM10,PM2.5
60645,PMS5003,46462,32.608,-117.032,,2025-12-19,1.0,1.0
60816,PMS5003,51921,51.518,-3.188,,2025-12-19,1.0,1.0
60996,PMS5003,62241,55.03708401,73.25925589,,2025-12-19,2.0,2.0
61873,PMS5003,75124,54.92004449,73.5483706,,2025-12-19,1.0,1.0
62415,PMS5003,48454,51.11953456,0.28037667,,2025-12-19,1.0,1.0
62591,PMS5003,48659,41.622,2.276,,2025-12-19,1.0,1.0
62631,PMS5003,48703,51.248,-0.546,,2025-12-19,1.0,1.0
63305,PMS5003,50735,52.06,1.248,,2025-12-19,1.0,1.0
64114,PMS5003,62188,35.64,139.748,,2025-12-19,2.0,3.0
64138,PMS5003,50435,43.7,-79.318,,2025-12-19,1.0,1.0
64229,PMS5003,50547,49.498,0.092,,2025-12-19,1.0,2.0
64627,PMS5003,85891,50.96,0.314,,2025-12-19,1.0,1.0
64861,PMS5003,62652,42.274,-71.436,,2025-12-19,1.0,1.0
65012,PMS5003,51715,39.43279,-77.51822,,2025-12-19,1.0,1.0
65360,PMS5003,51958,55.018,73.536,,2025-12-19,1.0,1.0
65383,PMS5003,51986,52.788,41.368,,2025-12-19,3.0,3.0
66155,PMS5003,52957,50.848,20.656,,2025-12-19,1.0,1.0
66395,PMS5003,72184,51.378,-1.342,,2025-12-19,1.0,1.0
66493,PMS5003,59484,52.58459354,1.14069164,,2025-12-19,1.0,1.0
66622,PMS5003,53493,50.888,20.65,,2025-12-19,1.0,1.0
68693,PMS5003,55676,49.65501975,20.66188205,,2025-12-19,1.0,1.0
68841,PMS5003,55849,48.482,2.332,,2025-12-19,1.0,1.0
69174,PMS5003,56283,55.03207559,73.24218571,,2025-12-19,1.0,1.0
69416,PMS5003,61386,54.99327788,73.44887972,,2025-12-19,1.0,1.0
70192,PMS5003,68995,52.038705,-0.845185,,2025-12-19,1.0,1.0
70197,PMS5003,57582,-34.876,138.628,,2025-12-19,1.0,1.0
70520,PMS5003,58442,52.716,23.56,,2025-12-19,1.0,1.0
70554,PMS5003,58104,52.744,15.242,,2025-12-19,1.0,1.0
71410,PMS5003,59224,51.1256583,4.22525102,,2025-12-19,2.0,3.0
71749,PMS5003,82153,39.97012,-75.17249,,2025-12-19,1.0,2.0
71858,PMS5003,59713,50.866,4.324,,2025-12-19,1.0,1.0
72023,PMS5003,59889,50.7,5.44,,2025-12-19,1.0,1.0
72257,PMS5003,60171,51.41412,0.10452,,2025-12-19,1.0,1.0
72307,PMS5003,60257,42.638,23.376,,2025-12-19,7.0,9.0
73241,PMS5003,83834,49.234,-2.094,,2025-12-19,1.0,1.0
73303,PMS5003,61527,53.33258046,-6.53269279,,2025-12-19,1.0,1.0
73414,PMS5003,77734,52.88,-2.936,,2025-12-19,1.0,1.0
73517,PMS5003,61766,60.318,25.044,,2025-12-19,2.0,3.0
73565,PMS5003,61846,52.97,-3.168,,2025-12-19,1.0,2.0
73691,PMS5003,63184,54.96670635,73.45471057,,2025-12-19,1.0,2.0
73825,PMS5003,64145,55.06,73.168,,2025-12-19,1.0,1.0
73973,PMS5003,62336,-26.094,27.994,,2025-12-19,2.0,2.0
74078,PMS5003,62437,51.544,-3.276,,2025-12-19,1.0,2.0
74176,PMS5003,86208,52.43140021,20.71162181,,2025-12-19,4.0,4.0
74880,PMS5003,63427,49.654,6.596,,2025-12-19,1.0,1.0
75384,PMS5003,64256,55.04239385,73.2719017,,2025-12-19,1.0,2.0
75797,PMS5003,73560,55.001447,73.2322669,,2025-12-19,1.0,1.0
75827,PMS5003,64744,54.97382995,73.38477733,,2025-12-19,2.0,2.0
75946,PMS5003,64628,50.104,14.614,,2025-12-19,4.0,5.0
76420,PMS5003,65253,52.354,13.614,,2025-12-19,2.0,2.0
76421,PMS5003,65254,52.354,13.614,,2025-12-19,1.0,1.0
76661,PMS5003,74936,45.5337614,6.21093877,,2025-12-19,3.0,3.0
77365,PMS5003,66430,50.182,11.704,,2025-12-19,1.0,1.0
77481,PMS5003,66582,43.004,-75.01,,2025-12-19,1.0,1.0
77515,PMS5003,66627,29.424,-98.496,,2025-12-19,1.0,1.0
77692,PMS5003,66984,47.404,18.836,,2025-12-19,10.0,10.0
77699,PMS5003,66867,42.658,23.32,,2025-12-19,7.0,9.0
77892,PMS5003,88891,50.09056124,14.30171013,,2025-12-19,1.0,1.0
78376,PMS5003,79037,43.09853896,-89.34553423,,2025-12-19,1.0,1.0
78512,PMS5003,67809,55.034,73.462,,2025-12-19,2.0,2.0
78575,PMS5003,67871,60.31816175,25.0464951,,2025-12-19,2.0,2.0
79038,PMS5003,68436,55.068,73.284,,2025-12-19,3.0,3.0
79350,PMS5003,68820,54.99870741,73.25741529,,2025-12-19,1.0,1.0
79408,PMS5003,79006,50.96,0.254,,2025-12-19,1.0,1.0
79689,PMS5003,69156,55.932,-3.238,,2025-12-19,1.0,1.0
80413,PMS5003,69758,52.58,13.068,,2025-12-19,1.0,1.0
80555,PMS5003,69889,55.04,73.076,,2025-12-19,1.0,1.0
80556,PMS5003,69891,54.9856172,73.3023876,,2025-12-19,2.0,2.0
80591,PMS5003,69950,55.0304623,73.2785016,,2025-12-19,1.0,1.0
80593,PMS5003,74054,55.0355537,73.31135154,,2025-12-19,1.0,1.0
80639,PMS5003,69992,60.17,24.692,,2025-12-19,2.0,2.0
80692,PMS5003,70055,39.4360107,-77.51331925,,2025-12-19,1.0,2.0
80861,PMS5003,71798,54.942,73.444,,2025-12-19,2.0,2.0
80888,PMS5003,71797,54.9963433,73.24266195,,2025-12-19,1.0,1.0
80946,PMS5003,70403,50.226,8.564,,2025-12-19,1.0,1.0
81640,PMS5003,83751,50.722,-1.944,,2025-12-19,1.0,1.0
81998,PMS5003,71598,46.516,-122.928,,2025-12-19,10.0,10.0
82314,PMS5003,71925,53.34092007,-1.26077235,,2025-12-19,1.0,1.0
82549,PMS5003,72212,45.6421471,13.7568341,,2025-12-19,3.0,3.0
82587,PMS5003,72854,55.94952591,-3.72413456,,2025-12-19,1.0,1.0
82622,PMS5003,72291,55.002,-1.592,,2025-12-19,1.0,1.0
82799,PMS5003,72544,48.516,-123.372,,2025-12-19,1.0,1.0
82817,PMS5003,72572,46.824,-71.222,,2025-12-19,2.0,1.0
82886,PMS5003,72660,51.258,-2.2,,2025-12-19,1.0,1.0
83235,PMS5003,73121,51.828,-3.098,,2025-12-19,1.0,1.0
83484,PMS5003,73420,32.678,-85.38,,2025-12-19,1.0,1.0
83543,PMS5003,73487,54.448,-0.942,,2025-12-19,1.0,1.0
83597,PMS5003,73565,45.774,15.892,,2025-12-19,4.0,5.0
83626,PMS5003,88521,40.108,-88.234,,2025-12-19,1.0,1.0
83837,PMS5003,73861,55.01434865,73.37456167,,2025-12-19,3.0,4.0
84223,PMS5003,74353,51.208,0.304,,2025-12-19,1.0,1.0
84637,PMS5003,74934,45.54028844,6.20805323,,2025-12-19,2.0,3.0
85502,PMS5003,75910,51.198,6.01,,2025-12-19,1.0,1.0
85811,PMS5003,76886,52.146,20.718,,2025-12-19,4.0,5.0
86131,PMS5003,76791,43.42108306,-80.50048585,,2025-12-19,1.0,1.0
86339,PMS5003,76996,49.08610797,9.4989574,,2025-12-19,1.0,1.0
86514,PMS5003,85359,49.69643405,8.6237354,,2025-12-19,1.0,1.0
